date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2015-05-01,May 2015,Other UK Airports,BELFAST CITY (GEORGE BEST),237893,237893,0
2015-05-01,May 2015,Other UK Airports,BELFAST INTERNATIONAL,393408,393138,270
2015-05-01,May 2015,Other UK Airports,BENBECULA,2727,2713,14
2015-05-01,May 2015,Other UK Airports,BIGGIN HILL,0,0,0
2015-05-01,May 2015,Other UK Airports,BIRMINGHAM,904930,904376,554
2015-05-01,May 2015,Other UK Airports,BLACKPOOL,3032,3032,0
2015-05-01,May 2015,Other UK Airports,BOURNEMOUTH,75771,75607,164
2015-05-01,May 2015,Other UK Airports,BRISTOL,653430,652936,494
2015-05-01,May 2015,Other UK Airports,CAMBRIDGE,775,775,0
2015-05-01,May 2015,Other UK Airports,CAMPBELTOWN,867,867,0
2015-05-01,May 2015,Other UK Airports,CARDIFF WALES,105809,105638,171
2015-05-01,May 2015,Other UK Airports,CITY OF DERRY (EGLINTON),22661,22661,0
2015-05-01,May 2015,Other UK Airports,COVENTRY,0,0,0
2015-05-01,May 2015,Other UK Airports,DONCASTER SHEFFIELD,83372,83243,129
2015-05-01,May 2015,Other UK Airports,DUNDEE,1603,1603,0
2015-05-01,May 2015,Other UK Airports,DURHAM TEES VALLEY,13115,13115,0
2015-05-01,May 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,463959,463852,107
2015-05-01,May 2015,Other UK Airports,EDINBURGH,1022749,1022575,174
2015-05-01,May 2015,Other UK Airports,EXETER,80125,80125,0
2015-05-01,May 2015,London Area Airports,GATWICK,3622552,3621807,745
2015-05-01,May 2015,Other UK Airports,GLASGOW,785400,785127,273
2015-05-01,May 2015,Other UK Airports,GLOUCESTERSHIRE,1098,1095,3
2015-05-01,May 2015,Non UK Reporting Airports,GUERNSEY,80299,77209,3090
2015-05-01,May 2015,London Area Airports,HEATHROW,6346632,6342606,4026
2015-05-01,May 2015,Other UK Airports,HUMBERSIDE,19914,19851,63
2015-05-01,May 2015,Other UK Airports,INVERNESS,63062,62969,93
2015-05-01,May 2015,Other UK Airports,ISLAY,3011,2992,19
2015-05-01,May 2015,Non UK Reporting Airports,ISLE OF MAN,69303,69244,59
2015-05-01,May 2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10262,10262,0
2015-05-01,May 2015,Non UK Reporting Airports,JERSEY,144034,142126,1908
2015-05-01,May 2015,Other UK Airports,KIRKWALL,14758,13793,965
2015-05-01,May 2015,Other UK Airports,LANDS END (ST JUST),6325,6264,61
2015-05-01,May 2015,Other UK Airports,LEEDS BRADFORD,347461,346992,469
2015-05-01,May 2015,Other UK Airports,LERWICK (TINGWALL),531,531,0
2015-05-01,May 2015,Other UK Airports,LIVERPOOL (JOHN LENNON),399156,399007,149
2015-05-01,May 2015,London Area Airports,LONDON CITY,342176,342176,0
2015-05-01,May 2015,London Area Airports,LUTON,1135770,1135505,265
2015-05-01,May 2015,Other UK Airports,LYDD,106,106,0
2015-05-01,May 2015,Other UK Airports,MANCHESTER,2094765,2091576,3189
2015-05-01,May 2015,Other UK Airports,MANSTON (KENT INT),0,0,0
2015-05-01,May 2015,Other UK Airports,NEWCASTLE,432501,432278,223
2015-05-01,May 2015,Other UK Airports,NEWQUAY,24532,24353,179
2015-05-01,May 2015,Other UK Airports,NORWICH,44346,44346,0
2015-05-01,May 2015,Other UK Airports,OXFORD (KIDLINGTON),35,35,0
2015-05-01,May 2015,Other UK Airports,PRESTWICK,69613,69613,0
2015-05-01,May 2015,Other UK Airports,SCATSTA,23991,23991,0
2015-05-01,May 2015,Other UK Airports,SHOREHAM,27,27,0
2015-05-01,May 2015,Other UK Airports,SOUTHAMPTON,155649,153704,1945
2015-05-01,May 2015,London Area Airports,SOUTHEND,82081,82081,0
2015-05-01,May 2015,London Area Airports,STANSTED,2035947,2035941,6
2015-05-01,May 2015,Other UK Airports,STORNOWAY,11268,11068,200
2015-05-01,May 2015,Other UK Airports,SUMBURGH,21965,21863,102
2015-05-01,May 2015,Other UK Airports,TIREE,751,731,20
2015-05-01,May 2015,Other UK Airports,WICK JOHN O GROATS,2261,2068,193
2015-06-01,June 2015,Other UK Airports,ABERDEEN,320838,320838,0
2015-06-01,June 2015,Non UK Reporting Airports,ALDERNEY,5677,5677,0
2015-06-01,June 2015,Other UK Airports,BARRA,1127,1127,0
2015-06-01,June 2015,Other UK Airports,BELFAST CITY (GEORGE BEST),250190,250190,0
2015-06-01,June 2015,Other UK Airports,BELFAST INTERNATIONAL,428942,428742,200
2015-06-01,June 2015,Other UK Airports,BENBECULA,2988,2981,7
2015-06-01,June 2015,Other UK Airports,BIGGIN HILL,133,133,0
2015-06-01,June 2015,Other UK Airports,BIRMINGHAM,989101,988627,474
2015-06-01,June 2015,Other UK Airports,BLACKPOOL,3746,3746,0
2015-06-01,June 2015,Other UK Airports,BOURNEMOUTH,87139,87139,0
2015-06-01,June 2015,Other UK Airports,BRISTOL,704112,703172,940
2015-06-01,June 2015,Other UK Airports,CAMBRIDGE,990,990,0
2015-06-01,June 2015,Other UK Airports,CAMPBELTOWN,818,818,0
